Type,Day of Week,Description,Status,ToDoW,DoneW
6/4/21,Friday,Lemon Oil Knife Block,1,,1
6/4/21,Friday,Try to download the Problem of Leisure,1,,1
6/4/21,Friday,Plan driving practice *,1,,2
6/3/21,Thursday,Yoga *,1,,2
6/3/21,Thursday,Push-ups 55 *,1,,2
6/3/21,Thursday,Get Mother's apartment cleaned *,1,,2
6/3/21,Thursday,Make Suspiros,1,,1
6/3/21,Thursday,Change air filters,1,,1
6/3/21,Thursday,Formulate Lulo drink,1,,1
6/3/21,Thursday,Host Dinner with Wehbas *,1,,2
6/3/21,Thursday,Send Boris Novakov resume +,1,,3
6/2/21,Wednesday,Yoga *,1,,2
6/2/21,Wednesday,Crunches 80 *,1,,2
6/2/21,Wednesday,Talk to Mr. Lynch about cat smell *,1,,2
6/2/21,Wednesday,Check Citibike Account,1,,1
6/2/21,Wednesday,Work on Generic Cover Page +,1,,3
6/2/21,Wednesday,Reply to Daniel Midoneck,1,,1
6/2/21,Wednesday,Write Cover Letters for Munich Re jobs +,1,,3
6/2/21,Wednesday,Apply to Munich Re Jobs +,1,,3
6/2/21,Wednesday,Work on Coursera R Course +,1,,3
6/2/21,Wednesday,Apply to more jobs +,1,,3
6/2/21,Wednesday,Apply to more jobs +,1,,3
6/1/21,Tuesday,Remove VCR,1,,1
6/1/21,Tuesday,Test portable DVD Player,1,,1
6/1/21,Tuesday,Take ethernet switches and portable DVD to GoodWill *,1,,2
6/1/21,Tuesday,Store Humidifier *,1,,2
6/1/21,Tuesday,Order air filters on 6/1/2020 to get Amex Paypal Credit,1,,1
6/1/21,Tuesday,Identify car mats to buy,1,,1
6/1/21,Tuesday,Epoxy kitchen kick panel,1,,1
6/1/21,Tuesday,Polish copper coffee pots *,1,,2
6/1/21,Tuesday,Attend Toastmasters +,1,,3
6/1/21,Tuesday,Work on Coursera R Course +,1,,3
5/31/21,Monday,Exercise - Bicycling *,1,,2
5/31/21,Monday,Go to Denise’s for Memorial Day *,1,,2
5/30/21,Sunday,Put Teresa's weekend address in Tom Tom,1,,1
5/30/21,Sunday,Go to Brighton Beach with Julia +,1,,3
5/29/21,Saturday,Yoga *,1,,2
5/29/21,Saturday,Push-ups - 50 *,1,,2
5/29/21,Saturday,Meditate *,1,,2
5/28/21,Friday,Pick up La Pavoni +,1,,3
5/28/21,Friday,Have Career Services Meeting +,1,,3
5/28/21,Friday,Do Laundry +,1,,3
5/28/21,Friday,Call Citibank about credit *,1,,2
5/28/21,Friday,Apply to one job,1,,1
5/27/21,Thursday,Email Zev about Jodi's tax issue,1,,1
5/27/21,Thursday,Get WhatsApp working on MacBook,1,,1
5/27/21,Thursday,Buff kitchen counters +,1,,3
5/27/21,Thursday,Get cash for Estella,1,,1
5/27/21,Thursday,Return mop to Home Depot,1,,1
5/27/21,Thursday,Get food for Estella to make *,1,,2
5/27/21,Thursday,Edge kitchen counters ^,1,,4
5/27/21,Thursday,Get Estella started at Mother's,1,,1
5/27/21,Thursday,Get WhatsApp working on iPad,1,,1
5/27/21,Thursday,Continue Data Analytics course on PC  +,1,,3
5/26/21,Wednesday,Yoga *,1,,2
5/26/21,Wednesday,Crunches 70 *,1,,2
5/26/21,Wednesday,Plan network change,1,,1
5/26/21,Wednesday,Plan counter refinishing,1,,1
5/26/21,Wednesday,Refinish Kitchen Counters ^,1,,4
5/26/21,Wednesday,Install new Router ^,1,,4
5/26/21,Wednesday,Clean Air Filters,1,,1
5/26/21,Wednesday,Work on Coursera R Course +,1,,3
5/26/21,Wednesday,Speak with Mike Kassel,1,,1
5/26/21,Wednesday,Continue Data Analytics course on PC  +,1,,3
5/25/21,Tuesday,Yoga *,1,,2
5/25/21,Tuesday,Push-Ups 45 *,1,,2
5/25/21,Tuesday,Pick up Home Depot stuff,1,,1
5/25/21,Tuesday,Do credit card application for Amanda,1,,1
5/25/21,Tuesday,Finish removing kitchen counter silicone +,1,,3
5/25/21,Tuesday,Work on Coursera R Course +,1,,3
5/24/21,Monday,Yoga *,1,,2
5/24/21,Monday,Get Mother’s Medicine refilled,1,,1
5/24/21,Monday,Work on removing kitchen counter silicone +,1,,3
5/24/21,Monday,Clean hard floors *,1,,2
5/24/21,Monday,Go to Little Island with Thad and Matt,1,,1
5/24/21,Monday,Figure out air cleaner filter situation,1,,1
5/24/21,Monday,Continue Data Analytics course on PC  +,1,,3
5/24/21,Monday,Work on Coursera R Course +,1,,3
5/23/21,Sunday,Yoga *,1,,2
5/23/21,Sunday,Crunches 60 *,1,,2
5/23/21,Sunday,Pick up Home Depot stuff,1,,1
5/23/21,Sunday,Exercise - Bicycling *,1,,2
5/23/21,Sunday,Distribute Medicine,1,,1
5/23/21,Sunday,Change horn mount,1,,1
5/23/21,Sunday,Replant Mother’s plant *,1,,2
5/23/21,Sunday,Block channel 222 on Mother’s television,1,,1
5/23/21,Sunday,Clean Bathroom +,1,,3
5/23/21,Sunday,Continue Data Analytics course on PC  +,1,,3
5/23/21,Sunday,Work on Coursera R Course +,1,,3
5/22/21,Saturday,Go on Astoria shopping trip +,1,,3
5/22/21,Saturday,Work on Coursera R Course +,1,,3
5/22/21,Saturday,Have Old-UBS Friends Mini Reunion Call +,1,,3
5/21/21,Friday,Start Gratitude Journal *,1,,2
5/21/21,Friday,Push-Ups 40 *,1,,2
5/21/21,Friday,Cut nails,1,,1
5/21/21,Friday,Do Laundry +,1,,3
5/21/21,Friday,Look up Amex Airlines extras benefit,1,,1
5/21/21,Friday,Look for R app,1,,1
5/21/21,Friday,Call garage about billing and car number *,1,,2
5/21/21,Friday,Make Patatas Bravas +,1,,3
5/20/21,Thursday,Yoga *,1,,2
5/20/21,Thursday,Crunches 50 *,1,,2
5/20/21,Thursday,Get Cash,1,,1
5/20/21,Thursday,Arrange for Mother's Apartment to be Cleaned *,1,,2
5/20/21,Thursday,Check Citibank card account for StubHub refund *,1,,2
5/20/21,Thursday,Work on Coursera R Course +,1,,3
5/20/21,Thursday,Calculate cost of network upgrade,1,,1
5/20/21,Thursday,Continue Data Analytics course on PC  +,1,,3
5/19/21,Wednesday,Yoga *,1,,2
5/19/21,Wednesday,Push-Ups 35 *,1,,2
5/19/21,Wednesday,Feed sourdough starter,1,,1
5/19/21,Wednesday,Start Mother Log,1,,1
5/19/21,Wednesday,Send Judy Equine Therapy info,1,,1
5/19/21,Wednesday,Exercise - Bicycling +,1,,3
5/19/21,Wednesday,Pay Bills *,1,,2
5/19/21,Wednesday,Put music on Mother’s iPad,1,,1
5/19/21,Wednesday,Work on Coursera R Course +,1,,3
5/18/21,Tuesday,Yoga *,1,,2
5/18/21,Tuesday,Clean Coffeemaker,1,,1
5/18/21,Tuesday,Take coffee machine to be fixed +,1,,3
5/18/21,Tuesday,Calcuate Costco order +,1,,3
5/18/21,Tuesday,Make suspiros *,1,,2
5/18/21,Tuesday,Look at Munich Re Jobs,1,,1
5/18/21,Tuesday,Prepare for Toastmasters *,1,,2
5/17/21,Monday,Sign up for Toastmasters role,1,,1
5/17/21,Monday,Yoga *,1,,2
5/17/21,Monday,Arrange for La Pavoni repair *,1,,2
5/17/21,Monday,Arrange for car pickup,1,,1
5/17/21,Monday,Push-Ups 30 *,1,,2
5/17/21,Monday,Check Target purchases,1,,1
5/17/21,Monday,Find good jobs to apply to +,1,,3
5/17/21,Monday,Apply to more jobs +,1,,3
5/16/21,Sunday,Go on first shopping trip with new car +,1,,3
5/16/21,Sunday,Change Ethernet switches ^,1,,4
5/16/21,Sunday,Send WOD *,1,,2
5/15/21,Saturday,Yoga *,1,,2
5/15/21,Saturday,Push-Ups 25 *,1,,2
5/15/21,Saturday,Install Wireless Access Point +,1,,3
5/15/21,Saturday,Look at Ethernet switch under desk *,1,,2
5/15/21,Saturday,Label Ethernet Cables +,1,,3
5/15/21,Saturday,Called Mark about Amanda’s driving lesson,1,,1
5/15/21,Saturday,Research best places to practice in the area,1,,1
5/15/21,Saturday,Continue Data Analytics course on PC  +,1,,3
5/14/21,Friday,Laundry +,1,,3
5/14/21,Friday,Prepare for talk with Maria +,1,,3
5/14/21,Friday,Send Colin Lubbe resume *,1,,2
5/14/21,Friday,Fix Wired Network Connection *,1,,2
5/14/21,Friday,Have Career Services Meeting +,1,,3
5/14/21,Friday,Look at S3 Jobs +,1,,3
5/14/21,Friday,Discuss car with Maria +,1,,3
5/13/21,Thursday,Yoga *,1,,2
5/13/21,Thursday,Push-Ups 20 *,1,,2
5/13/21,Thursday,Answer Maria about car +,1,,3
5/13/21,Thursday,Change Mother’s doorbell batteries *,1,,2
5/13/21,Thursday,Check Spectrum call blocking *,1,,2
5/13/21,Thursday,Download LinkedIn Contacts *,1,,2
5/13/21,Thursday,Categorize LinkedIn Contacts +,1,,3
5/13/21,Thursday,Plan chicken breast dinner,1,,1
5/13/21,Thursday,Attend Strategic Staffing Solutions Presentation +,1,,3
5/13/21,Thursday,Fill out Strategic Staffing Solutions Application *,1,,2
5/13/21,Thursday,Join S3 Talent Network +,1,,3
5/13/21,Thursday,Try tilting camera down,1,,1
5/13/21,Thursday,Work on Coursera R Course +,1,,3
5/13/21,Thursday,Make chicken breast dinner +,1,,3
5/13/21,Thursday,Work on list of contacts to warm up +,1,,3
5/12/21,Wednesday,Yoga *,1,,2
5/12/21,Wednesday,Get Monthly Garage Space for Car ^,1,,4
5/12/21,Wednesday,Register car on EZ-Pass *,1,,2
5/12/21,Wednesday,Call Travelers about bank account *,1,,2
5/12/21,Wednesday,Upload ConEd bill for No Prior Insurance Verification *,1,,2
5/12/21,Wednesday,Exercise - Bicycling *,1,,2
5/12/21,Wednesday,Clean Rock,1,,1
5/12/21,Wednesday,Print out G-Jo Points for Foot,1,,1
5/12/21,Wednesday,Change Mother's JPMorgan investment documents to electronic,1,,1
5/12/21,Wednesday,Review car insurance documents,1,,1
5/12/21,Wednesday,Work on Acupressure program *,1,,2
5/11/21,Tuesday,Yoga *,1,,2
5/11/21,Tuesday,Push-Ups 20 *,1,,2
5/11/21,Tuesday,Turn off email pop-ups *,1,,2
5/11/21,Tuesday,Answer Kassel *,1,,2
5/11/21,Tuesday,Email Maria about car *,1,,2
5/11/21,Tuesday,Message Estella about more work *,1,,2
5/11/21,Tuesday,Grind Coffee *,1,,2
5/11/21,Tuesday,Go to Toyota Dealership +,1,,3
5/11/21,Tuesday,Get car insurance +,1,,3
5/11/21,Tuesday,Lease car ^,1,,4
5/11/21,Tuesday,Talk to Estella about more work +,1,,3
5/10/21,Monday,Yoga *,1,,2
5/10/21,Monday,Contact Mike Kassel *,1,,2
5/10/21,Monday,Look for Paul Lee,1,,1
5/10/21,Monday,Look for Charles Ueng,1,,1
5/10/21,Monday,Exercise - Rowing *,1,,2
5/10/21,Monday,Scan MacBook,1,,1
5/10/21,Monday,Backup PC,1,,1
5/10/21,Monday,Submit Coursera R Course Project +,1,,3
5/10/21,Monday,Peer Review 2 assignments +,1,,3
5/10/21,Monday,Scan PC,1,,1
5/10/21,Monday,Work on Coursera R Course +,1,,3
5/9/21,Sunday,Yoga *,1,,2
5/9/21,Sunday,Push-Ups 15 *,1,,2
5/9/21,Sunday,Make Huevos Rancheros +,1,,3
5/9/21,Sunday,Look at speechmaking site *,1,,2
5/9/21,Sunday,Look for a Spanish Toastmasters Group *,1,,2
5/9/21,Sunday,Sign up for a Spanish Toastmasters Meeting +,1,,3
5/8/21,Saturday,Shop at Trader Joe's +,1,,3
5/8/21,Saturday,Go to Zabars +,1,,3
5/8/21,Saturday,Estimate Bills *,1,,2
5/7/21,Friday,Yoga *,1,,2
5/7/21,Friday,Push-Ups 10 *,1,,2
5/7/21,Friday,Rip Cobo CD,1,,1
5/7/21,Friday,Get NYS Excelsior Covid Pass,1,,1
5/7/21,Friday,Do Laundry and Masks +,1,,3
5/7/21,Friday,Change email address for Data Analytics *,1,,2
5/7/21,Friday,Meditate,1,,1
5/7/21,Friday,Discuss car with Mother +,1,,3
5/6/21,Thursday,Yoga *,1,,2
5/6/21,Thursday,Look at Economist subscription,1,,1
5/6/21,Thursday,Find fettuccine recipe,1,,1
5/6/21,Thursday,Exercise - Bicycling *,1,,2
5/6/21,Thursday,Compare message notifications with LinkedIn,1,,1
5/6/21,Thursday,Add Colin's 9 free LinkedIn Premium months *,1,,2
5/6/21,Thursday,Tell mother about Lourdes' birthday present,1,,1
5/6/21,Thursday,Find jobs to apply to +,1,,3
5/6/21,Thursday,Add jobs to Huntr +,1,,3
5/6/21,Thursday,Try to finish converting Citibike account to Lourdes,1,,1
5/6/21,Thursday,Update MachineWhisper expenses,1,,1
5/6/21,Thursday,Make fettuccine dinner +,1,,3
5/6/21,Thursday,Arrange meeting with Chico’s crew,1,,1
5/6/21,Thursday,Work on Coursera R Course +,1,,3
5/5/21,Wednesday,Yoga *,1,,2
5/5/21,Wednesday,Clean up Mac Desktop +,1,,3
5/5/21,Wednesday,Ask Colin about Certificate,1,,1
5/5/21,Wednesday,Have Mother's Apartment Cleaned *,1,,2
5/5/21,Wednesday,Make list of things I do for Mother *,1,,2
5/5/21,Wednesday,Change Water Filter *,1,,2
5/5/21,Wednesday,Find out about StubHub Refund +,1,,3
5/5/21,Wednesday,Upload new resume to Google for submission to CS +,1,,3
5/5/21,Wednesday,Take Housing Works bag *,1,,2
5/5/21,Wednesday,Exercise - Rowing *,1,,2
5/5/21,Wednesday,Look at Colin's links +,1,,3
5/5/21,Wednesday,Continue Data Analytics course on PC  +,1,,3
5/4/21,Tuesday,Yoga *,1,,2
5/4/21,Tuesday,Change sourdough jar,1,,1
5/4/21,Tuesday,Practice Speech ^,1,,4
5/4/21,Tuesday,Compose note to get Gail Blake's written approval +,1,,3
5/4/21,Tuesday,Follow up with Gail Blate *,1,,2
5/4/21,Tuesday,Attend Toastmasters Meeting and Give Speech ^,1,,4
5/4/21,Tuesday,Check cancellation of LinkedIn Premium account,1,,1
5/4/21,Tuesday,Set up R in Jupyter Notebooks *,1,,2
5/3/21,Monday,Yoga *,1,,2
5/3/21,Monday,Cancel LinkedIn Premium before 5/5/21,1,,1
5/3/21,Monday,Reorganize ATimeLogger *,1,,2
5/3/21,Monday,Feed sourdough starter,1,,1
5/3/21,Monday,Go food shopping for Mother +,1,,3
5/3/21,Monday,Attempt to Connect GitHub Desktop on Mac with SSH Key *,1,,2
5/3/21,Monday,Attempt to Connect GitHub cmd line on Mac with SSH Key *,1,,2
5/3/21,Monday,Attempt to Connect VS Code on Mac with SSH Key *,1,,2
5/3/21,Monday,Change Citibike payment to Lourdes' card,1,,1
5/3/21,Monday,Work on Coursera R Course +,1,,3
5/2/21,Sunday,Work on GJo Project +,1,,3
5/2/21,Sunday,Yoga *,1,,2
5/2/21,Sunday,Exercise - Bicycling +,1,,3
5/2/21,Sunday,Create pace Python program entirely on iPhone *,1,,2
5/2/21,Sunday,Work on Coursera R Course +,1,,3
5/1/21,Saturday,Create May Exercise Challenges tab,1,,1
5/1/21,Saturday,Work on GJo Project +,1,,3
5/1/21,Saturday,Look for Toyota dealership,1,,1
5/1/21,Saturday,Clean Bathroom +,1,,3
5/1/21,Saturday,Speak with Gail Blate about GJo rights +,1,,3
5/1/21,Saturday,Install Huntr +,1,,3
5/1/21,Saturday,Work on Coursera R Course +,1,,3
4/30/21,Friday,Yoga *,1,,2
4/30/21,Friday,Answer Sally about WOD and possible speech *,1,,2
4/30/21,Friday,Make recommended changes to resume +,1,,3
4/30/21,Friday,Have Career Services Meeting +,1,,3
4/30/21,Friday,Ask Colin about Zoom background,1,,1
4/30/21,Friday,Tell Maria about car *,1,,2
4/30/21,Friday,Laundry +,1,,3
4/30/21,Friday,Change linen closet light batteries,1,,1
4/30/21,Friday,Work on GJo Project +,1,,3
4/30/21,Friday,Consider speech topics - send to Sally *,1,,2
4/30/21,Friday,Make clear ice -,1,,0
4/29/21,Thursday,Yoga *,1,,2
4/29/21,Thursday,Cut Nails,1,,1
4/29/21,Thursday,Work on Bicycle Trip Machine Learning Project +,1,,3
4/29/21,Thursday,Attempt to join SelfGrowth.com to contact Michael Blate,1,,1
4/29/21,Thursday,Contact Michael Blate's wife about book permissions *,1,,2
4/29/21,Thursday,Work on GJo Project +,1,,3
4/29/21,Thursday,Work on Coursera R Course +,1,,3
4/29/21,Thursday,Attend Build A Website Webinar +,1,,3
4/28/21,Wednesday,Touch up new shelf with WhiteOut,1,,1
4/28/21,Wednesday,Attend Nike Career Services Webinar *,1,,2
4/28/21,Wednesday,Get Stove Fixed +,1,,3
4/28/21,Wednesday,Get PCP for Mother and make appointment for physical +,1,,3
4/28/21,Wednesday,Work on Bicycle Trip Machine Learning Project +,1,,3
4/28/21,Wednesday,Change Zoom picture to new one,1,,1
4/28/21,Wednesday,Attend Columbia Personal Branding Webinar *,1,,2
4/28/21,Wednesday,Choose and start Coursera R course +,1,,3
4/28/21,Wednesday,Continue Data Analytics course on PC  +,1,,3
4/27/21,Tuesday,Yoga *,1,,2
4/27/21,Tuesday,Review New Habits,1,,1
4/27/21,Tuesday,Attend CloverDX Webinar,1,,1
4/27/21,Tuesday,Switch Mother’s brown extension cord,1,,1
4/27/21,Tuesday,Verify Enchilada Recipe,1,,1
4/27/21,Tuesday,Backup MacBook,1,,1
4/27/21,Tuesday,Follow up on New York State Tax Refund,1,,1
4/27/21,Tuesday,Balance Mother's accounts for Ana's Loans,1,,1
4/27/21,Tuesday,Backup PC,1,,1
4/27/21,Tuesday,Work on Bicycle Trip Machine Learning Project +,1,,3
4/27/21,Tuesday,Make Enchiladas Dinner +,1,,3
4/26/21,Monday,Send Invitation for Catching Up Eastcoast to Midwest Zoom,1,,1
4/26/21,Monday,Arrange for Oven Repair +,1,,3
4/26/21,Monday,Exercise - Bicycling *,1,,2
4/26/21,Monday,Fill Lourdes' and Amanda’s bikes with air,1,,1
4/26/21,Monday,Take Package to Post Office,1,,1
4/26/21,Monday,Text Veronica about email bounce back,1,,1
4/26/21,Monday,Test Apple Keyboard and Mouse on PC,1,,1
4/26/21,Monday,Work on Bicycle Trip Machine Learning Project +,1,,3
4/25/21,Sunday,Yoga *,1,,2
4/25/21,Sunday,Make Sourdough Waffles +,1,,3
4/25/21,Sunday,Incorporate Career Services feedback to GitHub ^,1,,4
4/25/21,Sunday,Upload updated LinkedIn to Career Services +,1,,3
4/25/21,Sunday,Upload updated GitHub to Career Services +,1,,3
4/25/21,Sunday,Make Sourdough Bread +,1,,3
4/25/21,Sunday,Plan Dinner *,1,,2
4/25/21,Sunday,Make glazed carrots *,1,,2
4/25/21,Sunday,Make pea purée *,1,,2
4/25/21,Sunday,Make Teriyaki salmon *,1,,2
4/25/21,Sunday,Continue Data Analytics course on PC  +,1,,3
4/24/21,Saturday,Yoga *,1,,2
4/24/21,Saturday,Exercise - Walking *,1,,2
4/24/21,Saturday,Have Lourdes' Birthday Party on Pier 64 *,1,,2
4/24/21,Saturday,Have Old-UBS Mini Reunion Zoom Call,1,,1
4/24/21,Saturday,Prepare to make sourdough waffles,1,,1
4/24/21,Saturday,Start making sourdough bread,1,,1
4/24/21,Saturday,Write up blurb for MachineWhisper,1,,1
4/24/21,Saturday,Add more to MachineWhisper on LinkedIn,1,,1
4/24/21,Saturday,Change email address in LinkedIn,1,,1
4/24/21,Saturday,Change email address on Resume,1,,1
4/24/21,Saturday,Add more to MachineWhisper on Resume,1,,1
4/23/21,Friday,Laundry and Sheets and Masks +,1,,3
4/23/21,Friday,Clean pantry shelves and install new one *,1,,2
4/23/21,Friday,Fix Amanda’s bathroom light,1,,1
4/23/21,Friday,Exercise - Bicycling *,1,,2
4/23/21,Friday,Continue Data Analytics course on PC  +,1,,3
4/22/21,Thursday,Yoga *,1,,2
4/22/21,Thursday,Figure out Mini Displayport Adapter problem,1,,1
4/22/21,Thursday,Do Ana's 25th loan transfer *,1,,2
4/22/21,Thursday,Change toothbrush head -,1,,0
4/22/21,Thursday,Plan dinner *,1,,2
4/22/21,Thursday,Send Ana's promissory note,1,,1
4/22/21,Thursday,Call Dr. Scolnick’s office - Pay for dental work,1,,1
4/22/21,Thursday,Send invitation for Old-UBS Friends Zoom Meeting on 4/24,1,,1
4/22/21,Thursday,Make chicken tenders dinner +,1,,3
4/22/21,Thursday,Uninstall Malwarebytes from PC,1,,1
4/22/21,Thursday,Continue Data Analytics course on PC  +,1,,3
4/21/21,Wednesday,Yoga *,1,,2
4/21/21,Wednesday,Check PCR test result,1,,1
4/21/21,Wednesday,Distribute Mother's medicine *,1,,2
4/21/21,Wednesday,Feed Sourdough Starter,1,,1
4/21/21,Wednesday,Bring up hot sauce -,1,,0
4/21/21,Wednesday,Prepare for Filter Change +,1,,3
4/21/21,Wednesday,Fix Monitor Switch *,1,,2
4/21/21,Wednesday,Clean fuzzy blanket,1,,1
4/21/21,Wednesday,Deal with Ana's 25th loan *,1,,2
4/21/21,Wednesday,Call Claudio for his Birthday (no answer),1,,1
4/21/21,Wednesday,Answer Brian Otten *,1,,2
